id,name
5bb578ea831b973a137e5561,骶髂关节扭伤或半脱位
5bb578c2831b973a137e4314,右心室双出口
5bb578ec831b973a137e5697,肠道寄生虫病
5bb578ed831b973a137e5757,原发性皮肤结核综合征
5bb578f5831b973a137e5afb,产褥中暑
5bb578ef831b973a137e57ee,婴儿肢端脓皮病
5bb578cb831b973a137e47c4,甲亢眼突
5bb578ee831b973a137e57af,老年人急性胰腺炎
5bb578f0831b973a137e58ae,老年人睡眠障碍
5bb578c9831b973a137e4698,急性化脓性乳突炎
5bb578d9831b973a137e4e0b,非结核性分枝杆菌关节炎
5bb578c4831b973a137e43df,盲肠肉芽肿
5bb578dd831b973a137e4fd9,地图舌
5bb578d4831b973a137e4ba5,子宫性不孕
5bb578e5831b973a137e5349,寰枢椎脱位
5bb578f9831b973a137e5d50,马牙
5bb578c4831b973a137e43dd,溃疡病大出血
5bb578fb831b973a137e5e4c,曲霉病
5bb578e4831b973a137e5327,小儿纵隔压迫综合征
5bb578d0831b973a137e49dc,空巢综合症
5bb578da831b973a137e4e24,中毒性休克综合征
5bb578c3831b973a137e4393,包皮阴茎头炎
5bb578e1831b973a137e51c2,冻伤
5bb578f4831b973a137e5a9a,卵巢卵黄囊瘤
5bb578ed831b973a137e5721,性心理障碍
5bb578e3831b973a137e52bb,癌症
5bb578cc831b973a137e47ec,中耳炎
5bb578f8831b973a137e5cc4,筋痿
5bb578cf831b973a137e4938,胃恶性淋巴瘤
5bb578b7831b973a137e3f52,支气管肺炎
5bb578bb831b973a137e40c8,嗜酸性细胞胃肠炎
5bb578ca831b973a137e4730,釉质发育不全
5bb578c9831b973a137e46e2,噪声性耳聋
5bb578de831b973a137e5063,手足皲裂
5bb578f9831b973a137e5d55,自发性腹膜后出血或血肿
5bb578fb831b973a137e5e20,青春期功能失调性子宫出血
5bb578c0831b973a137e427c,急性淋巴细胞性白血病
5bb578c1831b973a137e42cf,皮肤过敏
5bb578f2831b973a137e5985,职业性皮肤癌
